0    [main] INFO  org.eclipse.jetty.server.Server  Ð jetty-8.1.10.v20130312
118  [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  Ð Deployment monitor /usr/local/projects/cpc-blacklight/jetty/contexts at interval 0
156  [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  Ð Deployable added: /usr/local/projects/cpc-blacklight/jetty/contexts/solr.xml
406  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  Ð Extract jar:file:/usr/local/projects/cpc-blacklight/jetty/webapps/solr.war!/ to /usr/local/projects/cpc-blacklight/jetty/solr-webapp/webapp
3556 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  Ð NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
3797 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  Ð SolrDispatchFilter.init()
3870 [main] INFO  org.apache.solr.core.SolrResourceLoader  Ð JNDI not configured for solr (NoInitialContextEx)
3870 [main] INFO  org.apache.solr.core.SolrResourceLoader  Ð using system property solr.solr.home: /usr/local/projects/cpc-blacklight/jetty/solr
3876 [main] INFO  org.apache.solr.core.SolrResourceLoader  Ð new SolrResourceLoader for directory: '/usr/local/projects/cpc-blacklight/jetty/solr/'
3891 [main] INFO  org.apache.solr.core.SolrResourceLoader  Ð Adding 'file:/usr/local/projects/cpc-blacklight/jetty/solr/lib/contrib/' to classloader
3892 [main] INFO  org.apache.solr.core.SolrResourceLoader  Ð Adding 'file:/usr/local/projects/cpc-blacklight/jetty/solr/lib/solr-analysis-extras-4.6.0.jar' to classloader
3893 [main] INFO  org.apache.solr.core.SolrResourceLoader  Ð Adding 'file:/usr/local/projects/cpc-blacklight/jetty/solr/lib/solr-clustering-4.6.0.jar' to classloader
3893 [main] INFO  org.apache.solr.core.SolrResourceLoader  Ð Adding 'file:/usr/local/projects/cpc-blacklight/jetty/solr/lib/solr-langid-4.6.0.jar' to classloader
4077 [main] INFO  org.apache.solr.core.ConfigSolr  Ð Loading container configuration from /usr/local/projects/cpc-blacklight/jetty/solr/solr.xml
4470 [main] INFO  org.apache.solr.core.CoreContainer  Ð New CoreContainer 1690464956
4471 [main] INFO  org.apache.solr.core.CoreContainer  Ð Loading cores into CoreContainer [instanceDir=/usr/local/projects/cpc-blacklight/jetty/solr/]
4474 [main] INFO  org.apache.solr.core.CoreContainer  Ð loading shared library: /usr/local/projects/cpc-blacklight/jetty/solr/lib
4475 [main] INFO  org.apache.solr.core.SolrResourceLoader  Ð Adding 'file:/usr/local/projects/cpc-blacklight/jetty/solr/lib/contrib/' to classloader
4475 [main] INFO  org.apache.solr.core.SolrResourceLoader  Ð Adding 'file:/usr/local/projects/cpc-blacklight/jetty/solr/lib/solr-analysis-extras-4.6.0.jar' to classloader
4476 [main] INFO  org.apache.solr.core.SolrResourceLoader  Ð Adding 'file:/usr/local/projects/cpc-blacklight/jetty/solr/lib/solr-clustering-4.6.0.jar' to classloader
4476 [main] INFO  org.apache.solr.core.SolrResourceLoader  Ð Adding 'file:/usr/local/projects/cpc-blacklight/jetty/solr/lib/solr-langid-4.6.0.jar' to classloader
4518 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  Ð Setting socketTimeout to: 0
4519 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  Ð Setting urlScheme to: http://
4519 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  Ð Setting connTimeout to: 0
4519 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  Ð Setting maxConnectionsPerHost to: 20
4519 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  Ð Setting corePoolSize to: 0
4520 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  Ð Setting maximumPoolSize to: 2147483647
4520 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  Ð Setting maxThreadIdleTime to: 5
4521 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  Ð Setting sizeOfQueue to: -1
4521 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  Ð Setting fairnessPolicy to: false
5063 [main] INFO  org.apache.solr.logging.LogWatcher  Ð SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
5064 [main] INFO  org.apache.solr.logging.LogWatcher  Ð Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
5213 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CoreContainer  Ð Creating SolrCore 'blacklight-core' using instanceDir: /usr/local/projects/cpc-blacklight/jetty/solr/blacklight-core
5214 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  Ð new SolrResourceLoader for directory: '/usr/local/projects/cpc-blacklight/jetty/solr/blacklight-core/'
5307 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrConfig  Ð Adding specified lib dirs to ClassLoader
5308 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  Ð Adding 'file:/usr/local/projects/cpc-blacklight/jetty/solr/lib/contrib/analysis-extras/lib/icu4j-49.1.jar' to classloader
